"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"MT000016597","LUQA, MT","2015-10-01","0.00","72","80",
"MT000016597","LUQA, MT","2015-10-02","1.55","71","76","65"
"MT000016597","LUQA, MT","2015-10-03","0.01","73","79","67"
"MT000016597","LUQA, MT","2015-10-04","0.00","73","81","68"
"MT000016597","LUQA, MT","2015-10-05","0.02","74","81","66"
"MT000016597","LUQA, MT","2015-10-06","0.01","77","87",
"MT000016597","LUQA, MT","2015-10-07","0.00","76","82",
"MT000016597","LUQA, MT","2015-10-08","0.02","74","83","67"
"MT000016597","LUQA, MT","2015-10-09","0.00","75","81","68"
"MT000016597","LUQA, MT","2015-10-10","0.09","75","83",
"MT000016597","LUQA, MT","2015-10-11","0.00","71","78",
"MT000016597","LUQA, MT","2015-10-12","0.00","71","81","62"
"MT000016597","LUQA, MT","2015-10-13","0.00","75","81","70"
"MT000016597","LUQA, MT","2015-10-14","0.00","76","83",
"MT000016597","LUQA, MT","2015-10-15","0.00","76","81",
"MT000016597","LUQA, MT","2015-10-16","0.00","73","81","67"
"MT000016597","LUQA, MT","2015-10-17","0.00","72","81","65"
"MT000016597","LUQA, MT","2015-10-18","0.00","71","79","64"
"MT000016597","LUQA, MT","2015-10-19","0.00","72","78",
"MT000016597","LUQA, MT","2015-10-20","0.00","76","82","68"
"MT000016597","LUQA, MT","2015-10-21","0.00","76","82",
"MT000016597","LUQA, MT","2015-10-22","0.00","68","76","53"
"MT000016597","LUQA, MT","2015-10-23","0.39","66","71","61"
"MT000016597","LUQA, MT","2015-10-24","0.00","66","72","60"
"MT000016597","LUQA, MT","2015-10-25","0.00","68","73",
"MT000016597","LUQA, MT","2015-10-26","0.00","66","74","57"
"MT000016597","LUQA, MT","2015-10-27","0.46","68","70","64"
"MT000016597","LUQA, MT","2015-10-28","0.35","70","76","64"
"MT000016597","LUQA, MT","2015-10-29","0.01","68","76","62"
"MT000016597","LUQA, MT","2015-10-30","0.02","65","72",
"MT000016597","LUQA, MT","2015-10-31","0.01","64","69",
"MT000016597","LUQA, MT","2015-11-01","0.94","65","69","60"
"MT000016597","LUQA, MT","2015-11-02","1.06","67","73","61"
"MT000016597","LUQA, MT","2015-11-03","0.02","67","71",
"MT000016597","LUQA, MT","2015-11-04","0.00","67","74","59"
"MT000016597","LUQA, MT","2015-11-05","0.01","67","75","62"
"MT000016597","LUQA, MT","2015-11-06","0.02","67","73","61"
"MT000016597","LUQA, MT","2015-11-07","0.00","67",,
"MT000016597","LUQA, MT","2015-11-08","0.00","66","72",
"MT000016597","LUQA, MT","2015-11-09","0.01","65","73","59"
"MT000016597","LUQA, MT","2015-11-10","0.01","66","75",
"MT000016597","LUQA, MT","2015-11-11","0.01","65","72","57"
"MT000016597","LUQA, MT","2015-11-12","0.02","65","73","57"
"MT000016597","LUQA, MT","2015-11-13","0.00","65","72","59"
"MT000016597","LUQA, MT","2015-11-14","0.01","66","72",
"MT000016597","LUQA, MT","2015-11-15","0.00","65",,"58"
"MT000016597","LUQA, MT","2015-11-16","0.01","63","71",
"MT000016597","LUQA, MT","2015-11-17","0.00","63","72",
"MT000016597","LUQA, MT","2015-11-18","0.01","64","71","57"
"MT000016597","LUQA, MT","2015-11-19","0.02","63","70",
"MT000016597","LUQA, MT","2015-11-20","0.00","64","71","59"
"MT000016597","LUQA, MT","2015-11-21","0.00","67","71","62"
"MT000016597","LUQA, MT","2015-11-22","0.02","63","68",
"MT000016597","LUQA, MT","2015-11-23","0.00","62",,"55"
"MT000016597","LUQA, MT","2015-11-24","0.01","65","72","55"
"MT000016597","LUQA, MT","2015-11-25","0.02","60","69","57"
"MT000016597","LUQA, MT","2015-11-26","0.06","58","63",
"MT000016597","LUQA, MT","2015-11-27","0.20","56","60","51"
"MT000016597","LUQA, MT","2015-11-28","0.17","59","63","54"
"MT000016597","LUQA, MT","2015-11-29","0.02","60","65",
"MT000016597","LUQA, MT","2015-11-30","0.01","59",,"55"
"MT000016597","LUQA, MT","2015-12-01","0.00","59","65","54"
"MT000016597","LUQA, MT","2015-12-02","0.00","59","65",
"MT000016597","LUQA, MT","2015-12-03","0.00","59","64","50"
"MT000016597","LUQA, MT","2015-12-04","0.00","61","65","57"
"MT000016597","LUQA, MT","2015-12-05","0.00","61",,"56"
"MT000016597","LUQA, MT","2015-12-06","0.00","62","67",
"MT000016597","LUQA, MT","2015-12-07","0.01","60","67",
"MT000016597","LUQA, MT","2015-12-08","0.01","58","68","51"
"MT000016597","LUQA, MT","2015-12-09","0.02","59",,"53"
"MT000016597","LUQA, MT","2015-12-10","0.01","59","65","54"
"MT000016597","LUQA, MT","2015-12-11","0.00","58","63",
"MT000016597","LUQA, MT","2015-12-12","0.00","55","63",
"MT000016597","LUQA, MT","2015-12-13","0.01","55","63","50"
"MT000016597","LUQA, MT","2015-12-14","0.00","58","67","52"
"MT000016597","LUQA, MT","2015-12-15","0.00","54","62","51"
"MT000016597","LUQA, MT","2015-12-16","0.19","56","63","50"
"MT000016597","LUQA, MT","2015-12-17","0.00","57",,
"MT000016597","LUQA, MT","2015-12-18","0.00","54",,
"MT000016597","LUQA, MT","2015-12-19","0.00","55","64","46"
"MT000016597","LUQA, MT","2015-12-20","0.00","56","62","53"
"MT000016597","LUQA, MT","2015-12-21","1.46","59","65","55"
"MT000016597","LUQA, MT","2015-12-22","0.01","57","65",
"MT000016597","LUQA, MT","2015-12-23","0.02","56","64","49"
"MT000016597","LUQA, MT","2015-12-24","0.02","57","65","49"
"MT000016597","LUQA, MT","2015-12-25","0.01","57","64",
"MT000016597","LUQA, MT","2015-12-26","0.01","55","63","48"
"MT000016597","LUQA, MT","2015-12-27","0.01","55","63","50"
"MT000016597","LUQA, MT","2015-12-28","0.01","57","63","50"
"MT000016597","LUQA, MT","2015-12-29","0.00","57",,"51"
"MT000016597","LUQA, MT","2015-12-30","0.02","55","61","51"
"MT000016597","LUQA, MT","2015-12-31","0.01","55","62",
"MT000016597","LUQA, MT","2016-01-01","0.00","54","63","47"
"MT000016597","LUQA, MT","2016-01-02","0.01","58","65","49"
"MT000016597","LUQA, MT","2016-01-03","0.00","60",,
"MT000016597","LUQA, MT","2016-01-04","0.01","62","65","55"
"MT000016597","LUQA, MT","2016-01-05","0.00","63","71",
"MT000016597","LUQA, MT","2016-01-06","0.00","58",,"51"
"MT000016597","LUQA, MT","2016-01-07","0.27","58","61","52"
"MT000016597","LUQA, MT","2016-01-08","0.12","61","65","57"
"MT000016597","LUQA, MT","2016-01-09","0.01","61","66",
"MT000016597","LUQA, MT","2016-01-10","0.02","62","71",
"MT000016597","LUQA, MT","2016-01-11","0.02","60","65","54"
"MT000016597","LUQA, MT","2016-01-12","0.00","60","65",
"MT000016597","LUQA, MT","2016-01-13","0.00","58","63",
"MT000016597","LUQA, MT","2016-01-14","0.00","56","62","49"
"MT000016597","LUQA, MT","2016-01-15","0.00","60","65","55"
"MT000016597","LUQA, MT","2016-01-16","0.20","51","59",
"MT000016597","LUQA, MT","2016-01-17","0.29","49","54","43"
"MT000016597","LUQA, MT","2016-01-18","0.00","49","54",
"MT000016597","LUQA, MT","2016-01-19","0.00","54","60","45"
"MT000016597","LUQA, MT","2016-01-20","0.08","52","59",
"MT000016597","LUQA, MT","2016-01-21","0.00","52","61","45"
"MT000016597","LUQA, MT","2016-01-22","0.00","52","60","45"
"MT000016597","LUQA, MT","2016-01-23","0.04","51","59",
"MT000016597","LUQA, MT","2016-01-24","0.01","52","59","46"
"MT000016597","LUQA, MT","2016-01-25","0.00","52","60","45"
"MT000016597","LUQA, MT","2016-01-26","0.00","54","61","47"
"MT000016597","LUQA, MT","2016-01-27","0.00","55",,"47"
"MT000016597","LUQA, MT","2016-01-28","0.02","54","63","47"
"MT000016597","LUQA, MT","2016-01-29","0.02","54","62","46"
"MT000016597","LUQA, MT","2016-01-30","0.01","54","62","45"
"MT000016597","LUQA, MT","2016-01-31","0.01","57","64","51"
"MT000016597","LUQA, MT","2016-02-01","0.00","59","65",
